Game Name,System Full,Units(m),Publisher,Developer,Release Date
WARSAW,Xbox One,0,Crunching Koalas,Pixelated Milk,2/10/2020
Grand Theft Auto V,Xbox One,8.72,Rockstar Games,Rockstar North,18/11/2014
The Forgotten City,Xbox One,0,Unknown,Modern Storyteller,
Star Wars Episode I: Racer,Xbox One,0,Unknown,Aspyr Media,
The Walking Dead - The Telltale Series: A New Frontier,Xbox One,0.12,Warner Bros. Interactive Entertainment,Telltale Games,28/02/2017
Capcom Beat 'Em Up Bundle,Xbox One,0,Capcom,Capcom,18/09/2018
The Sinking City,Xbox One,0,Bigben Interactive,Frogwares,27/06/2019
Mirror's Edge Catalyst,Xbox One,0.19,Electronic Arts,EA DICE,7/6/2016
ELEX II,Xbox One,0,Unknown,Piranha Bytes,
Deformers,Xbox One,0.05,Ready at Dawn,Ready at Dawn,21/04/2017
Biomutant,Xbox One,0,THQ Nordic,Experiment 101,31/03/2019
Far Cry: New Dawn,Xbox One,0,Ubisoft,Ubisoft,15/02/2019
NORTH,Xbox One,0,Unknown,Badland Studio,
Batman: Arkham Knight,Xbox One,1.58,Warner Bros. Interactive Entertainment,Rocksteady Studios,23/06/2015
Dungeons & Dragons: Dark Alliance,Xbox One,0,Unknown,Tuque Games,
The Inner World: The Last Wind Monk,Xbox One,0.02,Kalypso Media,Studio Fizbin,24/10/2017
12 Minutes,Xbox One,0,Annapurna Interactive,Luis Antonio,1/12/2020
Mortal Kombat X,Xbox One,1.74,Warner Bros. Interactive Entertainment,NetherRealm Studios,14/04/2015
Football Manager 2022,Xbox One,0,Unknown,Sports Interactive,
Dead or School,Xbox One,0,Unknown,Nanafushi,
Transformers: Battlegrounds,Xbox One,0,Outright Games,Outright Games,23/10/2020
Resident Evil Re:Verse,Xbox One,0,Unknown,Capcom,
My Hero Ultra Rumble,Xbox One,0,Unknown,Byking,
Call of Duty: Infinite Warfare,Xbox One,4.79,Activision,Infinity Ward,4/11/2016
Promenade,Xbox One,0,Unknown,Holy Cap,
ACA NEOGEO NINJA COMBAT,Xbox One,0,Hamster Corporation,SNK Corporation,31/05/2018
Evoland Legendary Edition,Xbox One,0,Unknown,Shiro Games,
What Happened,Xbox One,0,Unknown,Genius Slackers,
Assassin's Creed IV: Black Flag,Xbox One,2.32,Ubisoft,Ubisoft Montreal,22/11/2013
Aluna: Sentinel of the Shards,Xbox One,0,Unknown,Digiart Interactive,
Harold Halibut,Xbox One,0,Unknown,Slow Bros.,
Steep,Xbox One,0.48,Ubisoft,Ubisoft Annecy,2/12/2016
NBA 2K18,Xbox One,2.02,2K Sports,Visual Concepts,19/09/2017
Scribblenauts Mega Pack,Xbox One,0.04,Warner Bros. Interactive Entertainment,Shiver Games,18/09/2018
Attack on Titan 2: Final Battle,Xbox One,0,Koei Tecmo,Omega Force,5/7/2019
Remothered: Broken Porcelain,Xbox One,0,Modus Games,Stormind Games,13/10/2020
The Crew,Xbox One,0.71,Ubisoft,Ubisoft Reflections,2/12/2014
Rocksmith+,Xbox One,0,Unknown,Ubisoft,
Cartoon Network: Battle Crashers,Xbox One,0.06,GameMill Entertainment,Magic Pockets,8/11/2016
The Lego Ninjago Movie Videogame,Xbox One,0.33,Warner Bros. Interactive Entertainment,Traveller's Tales,22/09/2017
8 to Glory: The Official Game of the PBR,Xbox One,0.02,THQ Nordic,Three Gates,30/10/2018
Desperados III,Xbox One,0,THQ Nordic,Mimimi Productions,16/06/2020
Mighty No. 9,Xbox One,0.05,Eidos Interactive Ltd,Comcept,1/7/2015
Blaster Master Zero 3,Xbox One,0,Unknown,Inti Creates,
Marvel's Guardians of the Galaxy: The Telltale Series,Xbox One,0.05,Warner Bros. Interactive Entertainment,Telltale Games,2/5/2017
Raid: World War II,Xbox One,0.03,505 Games,Lion Game Lion,10/10/2017
Frostpunk,Xbox One,0,11 bit studios,11 bit studios,11/10/2019
R.B.I. Baseball 14,Xbox One,0,MLB.com,Unknown,1/7/2014
The Elder Scrolls V: Skyrim Anniversary Edition,Xbox One,0,Unknown,Bethesda Softworks,
Life Is Strange: Before the Storm,Xbox One,0.09,Square Enix,Deck Nine,6/3/2018
Zombie Army 4: Dead War,Xbox One,0,Rebellion Developments,Rebellion Games,4/2/2020
Lara Croft and the Temple of Osiris,Xbox One,0,Square Enix,Crystal Dynamics,9/12/2014
Vigil: The Longest Night,Xbox One,0,Another Indie,Glass Heart Games,1/12/2020
Record of Lodoss War: Deedlit in Wonder Labyrinth,Xbox One,0,Unknown,Team Ladybug,
Dark Souls II: Crown of the Sunken King,Xbox One,0,Unknown,From Software,
Earthlock: Festival of Magic,Xbox One,0,Unknown,Snowcastle Games,
Super Mutant Alien Assault,Xbox One,0,Unknown,Cybernate,
Nero,Xbox One,0,Game Grinder,Game Grinder,1/1/2016
Diablo IV,Xbox One,0,Blizzard Entertainment,Blizzard Entertainment,31/12/2020
Undernauts: Labyrinth of Yomi,Xbox One,0,Unknown,Experience Inc.,
Dying Light 2 Stay Human: Bloody Ties,Xbox One,0,Unknown,Techland,
The Technomancer,Xbox One,0.05,Focus Home Interactive,Spiders,28/06/2016
ACA NEOGEO PULSTAR,Xbox One,0,Hamster Corporation,SNK Corporation,6/7/2017
The Sojourn,Xbox One,0,Iceberg Interactive,Shifting Tides,20/09/2019
Mothergunship,Xbox One,0.01,Sold Out,Grip Games,24/08/2018
Pit People,Xbox One,0,The Behemoth,The Behemoth,2/3/2018
Fast & Furious Crossroads,Xbox One,0,Bandai Namco Entertainment,Slightly Mad Studios,7/8/2020
Teenage Mutant Ninja Turtles: Shredder's Revenge,Xbox One,0,Unknown,Tribute Games,
Scars Above,Xbox One,0,Unknown,Mad Head Games,
Dishonored 2,Xbox One,0.86,Bethesda Softworks,Arkane Studios,10/11/2016
ACA NEOGEO OVER TOP,Xbox One,0,Hamster Corporation,SNK Corporation,20/04/2017
Hotel Transylvania 3: Monsters Overboard,Xbox One,0.04,Outright Games,Torus Games,10/7/2018
Oddworld: Abe's Oddysee New N' Tasty!,Xbox One,0,Oddworld Inhabitants,Just Add Water,27/03/2015
Ride 4,Xbox One,0,Milestone S.r.l.,Milestone S.r.l.,8/10/2020
Lies of P,Xbox One,0,Unknown,Neowiz Corporation,
One Piece: Burning Blood,Xbox One,0.19,Namco Bandai Games,Spike Chunsoft,31/05/2016
Immortal Redneck,Xbox One,0,CremaGames,CremaGames,27/02/2018
FIFA 19,Xbox One,2.22,Electronic Arts,EA Sports,28/09/2018
The Dark Pictures Anthology: Little Hope,Xbox One,0,Bandai Namco Entertainment,Supermassive Games Ltd.,30/10/2020
"Warhammer 40,000: Boltgun",Xbox One,0,Unknown,Auroch Digital,
Tachyon Project,Xbox One,0,Eclipse Games,Eclipse Games,15/07/2015
Rogue Trooper Redux,Xbox One,0.02,Rebellion,TickTock Games,17/10/2017
Icewind Dale: Enhanced Edition,Xbox One,0,Atari,Overhaul Games,24/09/2019
Disney Infinity 2.0: Marvel Super Heroes,Xbox One,0.55,Disney Interactive Studios,Avalanche Software,23/09/2014
Chernobylite,Xbox One,0,Unknown,The Farm 51,
Warframe,Xbox One,0,Digital Extremes,Digital Extremes,2/9/2014
Romancing SaGa 3,Xbox One,0,Square Enix,Square Enix,11/11/2019
Knight Squad,Xbox One,0,Chainsawesome Games,Chainsawesome Games,16/11/2015
Sagebrush,Xbox One,0,Unknown,Redact Games,
Islanders: Console Edition,Xbox One,0,Coatsink Software,GrizzlyGames,26/08/2021
FOX n FORESTS,Xbox One,0,Unknown,Bonus Level Entertainment,
Valkyria Chronicles 4,Xbox One,0.04,Sega,Sega,25/09/2018
Bouncy Bullets,Xbox One,0,Ratalaika Games,Ratalaika Games,12/7/2019
Shadow of the Tomb Raider,Xbox One,0.78,Square Enix,Eidos Montreal,14/09/2018
Mass Effect: Andromeda,Xbox One,0.78,Electronic Arts,BioWare Corp.,21/03/2017
Pac-Man 256,Xbox One,0,Bandai Namco Entertainment,Bandai Namco,21/06/2016
Road 96,Xbox One,0,Unknown,DigixArt,
Football Manager 2023,Xbox One,0,Unknown,Sports Interactive,
BlazBlue: Chrono Phantasma Extend,Xbox One,0.08,Arc System Works,Arc System Works,30/06/2015
ACA NEOGEO STREET HOOP,Xbox One,0,Hamster Corporation,Data East,9/11/2017
River City Girls,Xbox One,0,WayForward Technologies,WayForward Technologies,5/9/2019
The Banner Saga Trilogy - Bonus Edition,Xbox One,0.05,505 Games,Stoic Studio,27/07/2018
Shadow Warrior (2013),Xbox One,0.04,Devolver Digital,Flying Wild Hog,21/10/2014
Rugby 20,Xbox One,0,Big Ben Interactive,EKO Software,23/01/2020
Tales of Symphonia Remastered,Xbox One,0,Unknown,Namco Tales Studio,
For Honor,Xbox One,0.87,Ubisoft,Ubisoft Montreal,14/02/2017
ACA NEOGEO MAGICAL DROP II,Xbox One,0,Hamster Corporation,Data East,15/06/2017
Sea of Solitude,Xbox One,0,Electronic Arts,Jo-Mei Games,5/7/2019
Warhammer: The End Times - Vermintide,Xbox One,0.03,Games Workshop,Fatshark,4/10/2016
Assassin's Creed Valhalla,Xbox One,0,Ubisoft,Ubisoft,10/11/2020
The Lord of the Rings: Gollum,Xbox One,0,Unknown,Daedalic Entertainment,
The Book of Unwritten Tales 2,Xbox One,0,Nordic Games,KING Art Games,18/09/2015
Nickelodeon Kart Racers,Xbox One,0.09,GameMill Entertainment,Bamtang,23/10/2018
New Super Lucky's Tale,Xbox One,0,Microsoft Studios,Playful Corp.,21/08/2020
Sea of Thieves: Legend of Monkey Island,Xbox One,0,Unknown,Rare Ltd.,
MXGP 2,Xbox One,0.1,Milestone S.r.l,Milestone S.r.l.,21/06/2016
"Warhammer 40,000: Battlesector",Xbox One,0,Unknown,Black Lab Games,
Achtung! Cthulhu Tactics,Xbox One,0,Unknown,Auroch Digital,
Insurgency: Sandstorm,Xbox One,0,Focus Home Interactive,New World Interactive,25/12/2020
Yakuza Kiwami 2,Xbox One,0,Sega,Sega,30/07/2020
ScourgeBringer,Xbox One,0,Unknown,Flying Oak Games,
DREDGE - The Pale Reach,Xbox One,0,Unknown,Black Salt Games,
F1 2016,Xbox One,0.22,Codemasters,Codemasters,19/08/2016
Age of Mythology: Retold,Xbox One,0,Unknown,World's Edge,
Paw Patrol on a Roll,Xbox One,0.04,Outright Games,Outright Games,23/10/2018
Final Fantasy VII,Xbox One,0,Square Enix,Square Enix,26/03/2019
Gotham Knights,Xbox One,0,Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment,25/10/2022
Battlefield 4,Xbox One,2.09,Electronic Arts,EA DICE,22/11/2013
Riders Republic,Xbox One,0,Unknown,Ubisoft Annecy,
Rocket Racing,Xbox One,0,Unknown,Psyonix,
Batman: A Telltale Game Series,Xbox One,0.07,Telltale Games,Telltale Games,13/09/2016
Need for Speed: Payback,Xbox One,0.73,Electronic Arts,Ghost Games,10/11/2017
Resident Evil Zero,Xbox One,0,Capcom,Capcom,19/01/2016
Samurai Shodown,Xbox One,0,SNK,SNK Playmore,27/07/2019
HyperBrawl Tournament,Xbox One,0,Unknown,Milky Tea,
Mad Max (2013),Xbox One,0.5,Warner Bros. Interactive Entertainment,Avalanche Studios,1/9/2015
REPLACED,Xbox One,0,Unknown,Sad Cat Studios,
MX vs ATV Supercross Encore 2017 Track Edition,Xbox One,0.06,THQ Nordic,Rainbow Studios,4/1/2017
The Sims 4,Xbox One,0.73,Electronic Arts,Maxis,17/11/2017
Atari Flashback Classics: Volume 3,Xbox One,0.05,Funbox Media,Atari,28/09/2018
Lost Ember,Xbox One,0,Mooneye Studios,Mooneye Studios,19/07/2019
The Golf Club,Xbox One,0.07,Maximum Games,HB Studios,28/04/2015
Ender Lilies: Quietus of the Knights,Xbox One,0,Binary Haze Interactive,Live Wire,29/06/2021
Portal Knights,Xbox One,0.02,505 Games,Keen Games,23/05/2017
NieR: Automata,Xbox One,0,Square Enix,PlatinumGames,26/06/2018
Madden NFL 21,Xbox One,0,Electronic Arts,EA Tiburon,28/08/2020
Capcom Arcade Stadium,Xbox One,0,Unknown,Capcom,
Handball 16,Xbox One,0,Bigben Interactive,EKO Software,27/11/2015
Space Hulk Tactics,Xbox One,0.02,Focus Home Interactive,Cyanide,9/10/2018
Chivalry 2,Xbox One,0,Tripwire Interactive,Torn Banner Studios,1/12/2020
The Falconeer,Xbox One,0,Unknown,Tomas Sala,
WWE 2K23,Xbox One,0,2K Games,Visual Concepts,17/03/2023
Dead Island Definitive Collection,Xbox One,0.08,Deep Silver,Techland,31/05/2016
Awsome Pea 2,Xbox One,0,Unknown,Sometimes You,
ACA NEOGEO TOP PLAYERS GOLF,Xbox One,0,Hamster Corporation,SNK Corporation,24/05/2018
A King's Tale: Final Fantasy XV,Xbox One,0,Square Enix,Empty Clip Studios,29/11/2016
The Gunk,Xbox One,0,Thunderful Publishing AB,Image & Form Games,1/12/2021
Synergia,Xbox One,0,Unknown,Radi Art,
EA Sports FC 24,Xbox One,0,Electronic Arts,EA Sports,29/09/2023
NHL 17,Xbox One,0.6,EA Sports,EA Canada,13/09/2016
Grand Theft Auto: Vice City ??The Definitive Edition,Xbox One,0,Unknown,Rockstar Games,
Cars 3: Driven to Win,Xbox One,0.05,Warner Bros. Interactive Entertainment,Avalanche Software,13/06/2017
Pixel Piracy,Xbox One,0,505 Games,Quadro Delta,16/02/2016
Attack of the Earthlings,Xbox One,0,Wales Interactive Ltd.,Team Junkfish,5/3/2019
Cloudpunk,Xbox One,0,Maple Whispering Limited,Ion Lands,15/10/2020
D4: Dark Dreams Don't Die,Xbox One,0,Microsoft Studios,Access Games,19/09/2013
The Dark Pictures Anthology: House of Ashes,Xbox One,0,Unknown,Supermassive Games Ltd.,
Disney Dreamlight Valley,Xbox One,0,Unknown,Gameloft,
Darksiders: Warmastered Edition,Xbox One,0.04,THQ Nordic,Kaiko,22/11/2016
Assassin's Creed Origins,Xbox One,2.47,Ubisoft,Ubisoft Montreal,27/10/2017
Spintires: MudRunner - American Wilds,Xbox One,0.07,Focus Home Interactive,Saber Interactive,23/10/2018
Super Meat Boy Forever,Xbox One,0,Team Meat,Team Meat,26/12/2020
Sea Animal Games for Toddlers and Kids with Jigsaw Puzzles,Xbox One,0,Ubisoft,Unknown,1/12/2013
Fuga: Melodies of Steel,Xbox One,0,Unknown,CyberConnect2,
The Elder Scrolls Online: Morrowind,Xbox One,0.14,Bethesda Softworks,ZeniMax Online Studios,6/6/2017
NBA Live 18,Xbox One,0.21,EA Sports,EA Sports,15/09/2017
Dance Central Spotlight,Xbox One,0,Microsoft Studios,Harmonix Music Systems,2/9/2014
Cricket 19 - The Official Game of the Ashes,Xbox One,0,Big Ant Studios,Big Ant Studios,31/05/2019
Sniper Elite III,Xbox One,0.43,505 Games,Rebellion Developments,1/7/2014
Subnautica: Below Zero,Xbox One,0,Unknown,Unknown Worlds Entertainment,
Code Vein,Xbox One,0,Bandai Namco Entertainment,Bandai Namco Studios,24/09/2019
Blair Witch,Xbox One,0,Microsoft Game Studios,Bloober Team,30/08/2019
Lego Batman 3: Beyond Gotham,Xbox One,0.44,Warner Bros. Interactive Entertainment,Traveller's Tales,11/11/2014
Beyond a Steel Sky,Xbox One,0,Unknown,Revolution Software,
Deliver Us Mars,Xbox One,0,Unknown,KeokeN Interactive,
The Little Acre,Xbox One,0,Unknown,Pewter Games Studios,
Monster Hunter World: Iceborne,Xbox One,0,Capcom,Capcom,6/9/2019
Hyper Light Drifter,Xbox One,0,Rebellion Games,Rebellion Games,26/07/2016
Fell Seal: Arbiter's Mark,Xbox One,0,Unknown,6 Eyes Studio,
Redout 2,Xbox One,0,Unknown,34BigThings srl,
Resident Evil Village - Winters' Expansion,Xbox One,0,Unknown,Capcom,
Oh...Sir! The Insult Simulator,Xbox One,0,Vile Monarch,Vile Monarch,4/8/2017
Lost Wing,Xbox One,0,2Awesome Studio,BoxFrog Games,29/07/2020
The Elder Scrolls Online: Summerset,Xbox One,0.11,Bethesda Softworks,ZeniMax Online Studios,21/05/2018
Pneuma: Breath of Life,Xbox One,0,Deco Digital,Deco Digital,27/02/2015
Five Nights at Freddy's 2,Xbox One,0,Unknown,Scott Cawthon,
Sonic Origins,Xbox One,0,Sega,Sega,23/06/2022
Silt,Xbox One,0,Unknown,Spiral Circus,
BADLAND: Game of the Year Edition,Xbox One,0,Frogmind,Frogmind,29/05/2015
ACA NEOGEO METAL SLUG 3,Xbox One,0,Hamster Corporation,SNK Corporation,21/12/2017
GreedFall,Xbox One,0,Focus Home Interactive,Spiders,10/9/2019
Tempest 4000,Xbox One,0.01,Atari,Llamasoft,27/07/2018
Raven's Cry,Xbox One,0,TopWare Interactive,Reality Pump Studios,27/11/2014
Someday You'll Return,Xbox One,0,CBE Software s.r.o.,CBE Software s.r.o.,14/04/2020
Road 96: Mile 0,Xbox One,0,Unknown,DigixArt,
Wasteland 2,Xbox One,0.06,Deep Silver,InXile Entertainment,13/10/2015
Mulaka,Xbox One,0,Unknown,Lienzo,
Sparkle 2,Xbox One,0,10tons Ltd,10tons Ltd,27/01/2016
Halo: Spartan Assault,Xbox One,0,Microsoft Studios,Vanguard Games,23/12/2013
GLITCHED,Xbox One,0,Unknown,En House Studios,
MXGP 3: The Official Motocross Videogame,Xbox One,0.09,Milestone,Milestone,20/06/2017
Okami HD,Xbox One,0.06,Capcom,Clover Studio,12/12/2017
Back to Bed,Xbox One,0,Bedtime Digital Games,Bedtime Digital Games,20/10/2014
Assassin's Creed: Unity,Xbox One,3.58,Ubisoft,Ubisoft Montreal,11/11/2014
Call of Duty: Vanguard,Xbox One,0,Unknown,Sledgehammer Games,
EA Sports UFC 3,Xbox One,0.44,EA Sports,EA Vancouver,2/2/2018
Tales of Arise,Xbox One,0,Bandai Namco Entertainment,Bandai Namco Games,1/12/2020
Shape Up,Xbox One,0.18,Ubisoft,Ubisoft Montreal,11/11/2014
Ancestors Legacy,Xbox One,0,Unknown,Destructive Creations,
MX vs. ATV Legends,Xbox One,0,Unknown,Rainbow Studios,
Azure Striker Gunvolt 3,Xbox One,0,Unknown,Inti Creates,
Railway Empire,Xbox One,0.03,Kalypso Media,Gaming Minds Studios,30/01/2018
System Shock (Remake),Xbox One,0,Nightdive Studios,Nightdive Studios,1/12/2020
Another World,Xbox One,0,Adult Dream,DotEmu,1/1/2016
Kerbal Space Program 2,Xbox One,0,Squad,Squad,1/12/2020
MultiVersus,Xbox One,0,Unknown,Player First Games,
New Joe & Mac - Caveman Ninja,Xbox One,0,Unknown,Mr. Nutz Studio,
Deus Ex: Mankind Divided,Xbox One,0.39,Square Enix,Eidos Montreal,23/08/2016
ACA NEOGEO METAL SLUG,Xbox One,0,Hamster Corporation,SNK Corporation,2/3/2017
Georifters,Xbox One,0,Another Indie,Busy Toaster,1/12/2020
ACA NEOGEO THE LAST BLADE 2,Xbox One,0,Hamster Corporation,SNK Corporation,15/02/2018
No Time to Explain,Xbox One,0,TinyBuild Games,TinyBuild Games,17/07/2015
Secret Neighbor,Xbox One,0,TinyBuild Games,Dynamic Pixels,24/10/2019
AI: The Somnium Files - nirvanA Initiative,Xbox One,0,Unknown,Spike Chunsoft,
Vampire Survivors,Xbox One,0,Unknown,Luca Galante,
FIFA 16,Xbox One,3.25,EA Sports,EA Canada,22/09/2015
ACA NEOGEO ART OF FIGHTING,Xbox One,0,Hamster Corporation,SNK Corporation,23/03/2017
Fallout 76,Xbox One,0.93,Bethesda Softworks,Bethesda Game Studios,14/11/2018
Sniper: Ghost Warrior 3,Xbox One,0.18,City Interactive,City Interactive,25/04/2017
My Friend Pedro,Xbox One,0,Devolver Digital,DeadToast Entertainment,5/12/2019
Ghost Trick: Phantom Detective,Xbox One,0,Unknown,Capcom,
Deadpool,Xbox One,0.22,Activision,High Moon Studios,18/11/2015
Clustertruck,Xbox One,0,TinyBuild Games,Landfall,27/09/2016
Carrion,Xbox One,0,Devolver Digital,Phobia Game Studio,23/07/2020
Apollo Justice: Ace Attorney Trilogy,Xbox One,0,Unknown,Capcom,
Kung Fu Panda: Showdown of Legendary Legends,Xbox One,0,Little Orbit,Little Orbit,1/12/2015
NASCAR Heat 3,Xbox One,0.1,704Games,Monster Games,7/9/2018
Rigid Force Redux,Xbox One,0,Unknown,com8com1,
Down in Bermuda,Xbox One,0,Unknown,Yak & co,
Tomb Raider I-III Remastered,Xbox One,0,Aspyr,Aspyr,14/02/2024
7 Days to Die,Xbox One,0.12,Telltale Games,The Fun Pimps,28/06/2016
Farming Simulator 22,Xbox One,0,Unknown,Giants Software,
ACA NEOGEO ART OF FIGHTING 3,Xbox One,0,Hamster Corporation,SNK Corporation,26/07/2018
Tr?berbrook,Xbox One,0,Headup Games,btf,1/1/2019
Steam Tactics,Xbox One,0,Unknown,Igor Rashkuev,
Dull Grey,Xbox One,0,Unknown,Provodnik Games,
Star Wars: Dark Forces Remaster,Xbox One,0,Unknown,Nightdive Studios,
Constructor HD,Xbox One,0.07,Deep Silver,System 3,11/7/2017
Voice Commander,Xbox One,0,Microsoft Studios,Microsoft Foundry Intern Program,22/10/2014
Atomic Heart,Xbox One,0,Focus Home Interactive,Mundfish,20/02/2023
Chronos: Before the Ashes,Xbox One,0,THQ Nordic,Gunfire Games,1/12/2020
Below,Xbox One,0,Capybara Games,Capybara Games,14/12/2018
Broken Pieces,Xbox One,0,Unknown,Elseware Experience,
Lil' Guardsman,Xbox One,0,Unknown,Hilltop Studios,
Reus,Xbox One,0,Soedesco,Abbey Games,11/10/2016
Metro Exodus,Xbox One,0,Deep Silver,4a-games,15/02/2019
RICO,Xbox One,0,Rising Star Games,Ground Shatter,1/12/2019
Mega Man X Legacy Collection 1+2,Xbox One,0.04,Capcom Entertainment,Digital Eclipse Software,24/07/2018
Sherlock Holmes: Crimes & Punishments,Xbox One,0.08,Focus Home Interactive,Frogwares,30/09/2014
Gears Tactics,Xbox One,0,Xbox Game Studios,Splash Damage,10/11/2020
Behind Closed Doors: A Developer's Tale,Xbox One,0,Unknown,PEW Games,
Summertime Madness,Xbox One,0,Unknown,DP Games,
Gears of War 4,Xbox One,3.38,Microsoft Studios,The Coalition,11/10/2016
ACA NEOGEO ALPHA MISSION II,Xbox One,0,Hamster Corporation,SNK Corporation,27/04/2017
RemiLore: Lost Girl in the Lands of Lore,Xbox One,0,Nicalis,Nicalis,26/02/2019
LEGO Jurassic World,Xbox One,0.78,Warner Bros. Interactive Entertainment,Traveller's Tales,12/6/2015
Yakuza Kiwami,Xbox One,0,Sega,Sega,21/04/2020
Daymare: 1994 Sandcastle,Xbox One,0,Unknown,Invader Studios,
Woodcutter Simulator 2016,Xbox One,0,Namco Bandai Games,Unknown,26/02/2015
Dead or Alive 6,Xbox One,0,Koei Tecmo,Team Ninja,15/02/2019
NASCAR Heat 5,Xbox One,0,Motorsport Games,704Games,10/7/2020
Mundaun,Xbox One,0,Unknown,Hidden Fields,
Teenage Mutant Ninja Turtles: Mutants in Manhattan,Xbox One,0.07,Activision,PlatinumGames,24/05/2016
Witch Rise,Xbox One,0,Unknown,lightUP,
Cecile,Xbox One,0,Unknown,CyberConnect2,
Dauntless,Xbox One,0,Phoenix Labs,Phoenix Labs,21/05/2019
Re:Turn ??One Way Trip,Xbox One,0,Green Man Gaming,Red Ego Games,29/09/2020
Knockout City,Xbox One,0,Unknown,Velan Studios,
Flintlock: The Siege of Dawn,Xbox One,0,Unknown,A44 Games,
Attack on Titan,Xbox One,0.15,Tecmo Koei,Omega Force,30/08/2016
Star Wars: Battlefront Classic Collection,Xbox One,0,Unknown,Aspyr,
Dead Cells,Xbox One,0,Merge Games,Motion Twin,15/08/2018
Mortal Shell,Xbox One,0,Playstack,Cold Symmetry,18/08/2020
The Evil Within,Xbox One,0.69,Bethesda Softworks,Tango Gameworks,14/10/2014
Insurmountable,Xbox One,0,Unknown,ByteRockers Games,
Botany Manor,Xbox One,0,Unknown,Balloon Studios,
Worms: WMD,Xbox One,0.02,Team17 Digital Ltd,Team17 Digital Ltd,23/08/2016
Far Cry 5,Xbox One,1.78,Ubisoft,Ubisoft Montreal,27/03/2018
Death Mark,Xbox One,0,Unknown,Experience Inc.,
The Surge 2,Xbox One,0,Focus Home Interactive,DECK13 Interactive,24/09/2019
Projection: First Light,Xbox One,0,Blowfish Studios,Shadowplay Studios,29/09/2020
Just Dance 2014,Xbox One,0.48,Ubisoft,Ubisoft Paris,22/11/2013
Stranger of Paradise: Final Fantasy Origin,Xbox One,0,Unknown,Square Enix,
ABZU,Xbox One,0.02,505 Games,Giant Squid Studios,31/01/2017
Deer Hunter Reloaded,Xbox One,0.04,GameMill Entertainment,GameMill,24/10/2017
Battletoads (2020),Xbox One,0,Xbox Game Studios,Dlala Studios,20/08/2020
My Time At Portia,Xbox One,0,Team 17,Pathea Games,16/04/2019
Alien: Isolation,Xbox One,0.52,Sega,Creative Assembly,7/10/2014
Space Jam: A New Legacy ??The Game,Xbox One,0,Unknown,Digital Eclipse,
World to the West,Xbox One,0,Rain Games,Rain Games,5/5/2017
Pure Farming 2018,Xbox One,0.03,Techland,Ice Flames,13/03/2018
198X,Xbox One,0,Hi-Bit Studios,Hi-Bit Studios,1/12/2019
Defense Grid 2,Xbox One,0,505 Games,Unknown,23/09/2014
I Am Fish,Xbox One,0,Unknown,Bossa Studios,
Pinball FX 3,Xbox One,0,Zen Studios,Zen Studios,26/09/2017
Just Dance 2020,Xbox One,0,Ubisoft,Ubisoft,5/11/2019
FIFA 15,Xbox One,2.19,EA Sports,EA Canada,23/09/2014
KungFu Kickball,Xbox One,0,Blowfish Studios,WhaleFood Games,1/12/2020
Bug Fables: The Everlasting Sapling,Xbox One,0,Unknown,Moonsprout Games,
Game of Thrones: Episode Four - Sons of Winter,Xbox One,0,Unknown,Telltale Games,
The Raven Remastered,Xbox One,0.03,THQ Nordic,KING Art Games,13/03/2018
Kings of Lorn: The Fall of Ebris,Xbox One,0,TeamKill Media,TeamKill Media,9/9/2019
The Legend of Korra (2014),Xbox One,0,Activision,PlatinumGames,22/10/2014
Jumanji: The Video Game,Xbox One,0,Unknown,Funsolve,
Eternal Card Game,Xbox One,0,Unknown,Dire Wolf Digital,
Chained Echoes,Xbox One,0,Unknown,Matthias Linda,
State of Decay: Year One Survival Edition,Xbox One,0.21,Microsoft Studios,Undead Labs,28/04/2015
ACA NEOGEO THE KING OF FIGHTERS '97,Xbox One,0,Hamster Corporation,SNK Corporation,2/11/2017
Ooblets,Xbox One,0,Glumberland,Glumberland,1/12/2019
Dying Light,Xbox One,1.47,Warner Bros. Interactive Entertainment,Techland,6/2/2016
Tiny Tina's Wonderlands,Xbox One,0,Unknown,Gearbox Software,
Raccoo Venture,Xbox One,0,Unknown,Diego Ras,
Dear Esther: Landmark Edition,Xbox One,0,Good Shepherd Entertainment,thechineseroom,20/09/2016
Mega Man Legacy Collection 2,Xbox One,0.02,Capcom,Capcom,8/8/2017
Nidhogg 2,Xbox One,0,Messhof,Messhof,18/07/2018
Twin Mirror,Xbox One,0,Bandai Namco,DONTNOD Entertainment,1/12/2020
My Aunt is a Witch,Xbox One,0,Unknown,Sometimes You,
Strider (2014),Xbox One,0,Capcom,Double Helix Games,19/02/2014
FAR: Changing Tides,Xbox One,0,Unknown,Okomotive,
Monster Jam: Crush It,Xbox One,0.04,GameMill,GameMill,17/01/2017
The Escapists 2,Xbox One,0.15,Sold Out,Team17 Software,22/08/2017
ATV Drift & Tricks,Xbox One,0.02,Microids,Artefacts Studio,20/11/2018
Yu-Gi-Oh! Legacy of the Duelist,Xbox One,0,Konami,Other Ocean Interactive,31/07/2015
Project CARS,Xbox One,0.41,Bandai Namco Games,Slightly Mad Studios,12/5/2015
GRID Legends,Xbox One,0,Unknown,Codemasters,
WRC 7,Xbox One,0.05,Bigben Interactive,Kylotonn Entertainment,3/10/2017
