Game Name,System Full,Units(m),Publisher,Developer,Release Date
Frogs And Flies,Atari 2600,0.36,Mattel Interactive,Mattel,1/1/1982
Omega Race,Atari 2600,0,CBS Electronics,CBS Electronics,1/1/1983
Infiltrate,Atari 2600,0,Apollo,Apollo,1/1/1982
Raft Rider,Atari 2600,0,US Games,US Games,1/1/1982
Midnight Magic,Atari 2600,0.5,Atari,Atari,1/1/1984
Skate Boardin': A Radical Adventure,Atari 2600,0,Absolute Entertainment,Absolute Entertainment,1/1/1987
Spitfire Attack,Atari 2600,0,Milton Bradley,Milton Bradley,1/1/1983
Super Action Pack,Atari 2600,0,Activision,Activision,1/1/1988
Combat,Atari 2600,1.25,Atari,Atari,1/1/1977
Track & Field,Atari 2600,0,Atari,Konami,1/1/1984
Ghost Manor,Atari 2600,0,Xonox,Xonox,1/1/1983
Personal Game Programmer,Atari 2600,0,Answer Software,Answer Software,1/1/1983
Keystone Kapers,Atari 2600,0.66,Activision,Activision,1/1/1983
RealSports Volleyball,Atari 2600,0.13,Atari,Atari,1/1/1982
Smurf: Rescue In Gargamel's Castle,Atari 2600,0.59,Coleco,Coleco,1/1/1982
Star Raiders,Atari 2600,0,Atari,Atari,1/1/1982
Survival Island,Atari 2600,0,Unknown,Starpath Corp.,1/1/1983
Sea Dragon,Atari 2600,0,Unknown,Adventure International,
M*A*S*H,Atari 2600,0,20th Century Fox Video Games,20th Century Fox,1/1/1983
Video Chess,Atari 2600,0,Atari,Atari,1/1/1978
Superman,Atari 2600,0,Atari,Atari,1/1/1978
Racquetball,Atari 2600,0,Apollo,Apollo,1/1/1981
Bridge,Atari 2600,0.27,Activision,Activision,1/12/1980
Cosmic Swarm,Atari 2600,0,"CommaVid, Inc.","CommaVid, Inc.",1/1/1982
Encounter At L-5,Atari 2600,0,Data Age,Data Age,1/1/1982
Tape Worm,Atari 2600,0,Spectravision,Spectravision,1/1/1982
Winter Games,Atari 2600,0,Epyx,Epyx,1/1/1987
Warplock,Atari 2600,0,Data Age,Data Age,1/1/1982
Air Raiders,Atari 2600,0,Mattel Interactive,Mattel,1/1/1982
